Open,Low,High,Close,Volume,year,Date
20.3257,19.7571,20.3357,20.0357,24593700,2009,2009-06-10
19.9357,19.7929,20.2229,19.9929,18743700,2009,2009-06-11
19.83,19.4343,19.8714,19.5671,20110200,2009,2009-06-12
19.43,19.27,19.5614,19.4414,19276800,2009,2009-06-15
19.5229,19.4429,19.7814,19.4786,18385900,2009,2009-06-16
19.5243,19.2186,19.6357,19.3686,20407600,2009,2009-06-17
19.4443,19.37,19.7143,19.4114,15274300,2009,2009-06-18
19.7243,19.5571,19.9286,19.9257,25780600,2009,2009-06-19
20.0957,19.4757,20.2229,19.6243,22675500,2009,2009-06-22
19.4857,18.9829,19.5643,19.1443,25233300,2009,2009-06-23
19.3457,19.2657,19.6429,19.46,17340200,2009,2009-06-24
19.3929,19.3157,20.0286,19.98,21051700,2009,2009-06-25
19.97,19.9629,20.5086,20.3486,15692300,2009,2009-06-26
20.4943,20.22,20.5643,20.2814,20272000,2009,2009-06-29
20.3686,20.2571,20.5429,20.3471,15508000,2009,2009-06-30
20.5,20.36,20.6657,20.4043,14792100,2009,2009-07-01
20.1786,19.97,20.4043,20.0029,13231400,2009,2009-07-02
19.8143,19.4643,19.8557,19.8014,17810300,2009,2009-07-06
19.7829,19.3114,19.9543,19.3429,16485600,2009,2009-07-07
19.4171,19.2029,19.72,19.6029,20568900,2009,2009-07-08
19.68,19.4186,19.7129,19.48,12250900,2009,2009-07-09
19.4771,19.4743,19.8529,19.7886,15902700,2009,2009-07-10
19.9343,19.6471,20.3343,20.3343,17267900,2009,2009-07-13
20.29,20.1659,20.4543,20.3243,12401700,2009,2009-07-14
20.72,20.6171,21.0,20.9829,17342400,2009,2009-07-15
20.8229,20.7957,21.1457,21.0743,14056100,2009,2009-07-16
21.2971,21.2329,21.7171,21.6786,21505500,2009,2009-07-17
21.8957,21.5557,22.148000000000003,21.8441,26268800,2009,2009-07-20
21.8986,21.3929,21.9186,21.6443,31242200,2009,2009-07-21
22.5414,22.3014,22.6757,22.3914,31218000,2009,2009-07-22
22.3757,22.2229,22.6343,22.5457,18820100,2009,2009-07-23
22.4214,22.3571,22.8571,22.8551,15655800,2009,2009-07-24
22.8814,22.4657,22.9829,22.8714,15475400,2009,2009-07-27
22.6971,22.5143,22.8721,22.8571,12984100,2009,2009-07-28
22.7,22.6071,22.9214,22.8614,13648500,2009,2009-07-29
23.1,23.0714,23.5314,23.2557,16771600,2009,2009-07-30
23.284000000000002,23.2729,23.5714,23.3414,15090600,2009,2009-07-31
23.6014,23.5529,23.8057,23.7757,14080000,2009,2009-08-03
23.5614,23.4586,23.6529,23.65,14136100,2009,2009-08-04
23.6786,23.4586,23.9129,23.5871,15113700,2009,2009-08-05
23.6543,23.2986,23.7871,23.4157,12200600,2009,2009-08-06
23.6414,23.5429,23.8,23.6443,13834100,2009,2009-08-07
23.6657,23.38,23.8,23.5314,10724800,2009,2009-08-10
23.3843,23.1257,23.4829,23.2614,12690800,2009,2009-08-11
23.2214,23.2086,23.8157,23.6157,15895400,2009,2009-08-12
